City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Shingu,34.0667,134.15,90.01,45,98,6.82,JP,overcast clouds
1,Butaritari,3.0707,172.7902,83.12,74,20,12.28,KI,few clouds
2,Saint-Philippe,-21.3585,55.7679,71.19,73,47,13.29,RE,scattered clouds
3,Pacific Grove,22.0752,-159.319,80.92,79,75,5.01,US,light rain
4,Rikitea,-46.1927,168.8643,48.47,90,45,2.89,NZ,light rain
5,Akdepe,42.0551,59.3788,89.69,20,0,9.01,TM,clear sky
6,Hilo,22.0752,-159.319,80.92,79,75,5.01,US,light rain
7,Parrita,-17.8,-63.1667,56.66,77,19,5.75,BO,few clouds
8,Buraydah,26.326,43.975,91.85,14,5,13.58,SA,clear sky
9,Vao,-20.2333,164.0167,72.36,63,1,10.56,NC,clear sky
10,Avera,-46.1927,168.8643,48.47,90,45,2.89,NZ,light rain
11,Torbay,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
12,Meulaboh,3.3,117.6333,83.7,70,20,4.61,ID,few clouds
13,Port Elizabeth,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
14,Nkongsamba,6.3833,10.0667,63.82,98,100,2.26,CM,moderate rain
15,Cozumel,27.9769,-114.0611,69.71,84,54,11.39,MX,broken clouds
16,Cape Town,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
17,Clyde River,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
18,Airai,7.0419,134.2556,88.3,74,94,13.38,PW,overcast clouds
19,Cabo San Lucas,27.9769,-114.0611,69.71,84,54,11.39,MX,broken clouds
20,Bilibino,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
21,Pevek,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
22,Kapaa,22.0752,-159.319,80.92,79,75,5.01,US,light rain
23,Dunedin,-46.6,168.3333,48.79,61,46,10.33,NZ,scattered clouds
24,Petrov Val,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
25,Chuy,-33.6971,-53.4616,46.27,81,99,5.44,UY,overcast clouds
26,Mocuba,-23.865,35.3833,67.98,94,20,9.22,MZ,few clouds
27,Haines Junction,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
28,Charyshskoye,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
29,Letlhakane,-20.4667,22.7167,42.57,27,0,6.24,BW,clear sky
30,Avarua,-21.2078,-159.775,78.85,78,0,3.44,CK,clear sky
31,Viru,-17.6394,-71.3375,59.4,84,17,3.42,PE,few clouds
32,Hobart,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
33,Matay,27.181,31.1837,86.18,35,0,13.02,EG,clear sky
34,Atuona,-46.1927,168.8643,48.47,90,45,2.89,NZ,light rain
35,Ushuaia,-54.8,-68.3,35.26,87,75,0.0,AR,broken clouds
36,Fairlie,-46.6,168.3333,48.79,61,46,10.33,NZ,scattered clouds
37,Nikolskoye,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
38,Cherskiy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
39,Huarmey,-17.6394,-71.3375,59.4,84,17,3.42,PE,few clouds
40,Albany,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
41,Kontagora,4.9247,6.2642,74.25,89,100,2.15,NG,overcast clouds
42,Muisne,-0.7393,-90.3518,71.55,95,99,4.0,EC,overcast clouds
43,Muroto,34.0667,134.15,90.01,45,98,6.82,JP,overcast clouds
44,Pinega,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
45,Mataura,-46.1927,168.8643,48.47,90,45,2.89,NZ,light rain
46,Vardo,70.0311,20.9714,50.0,82,100,30.2,NO,light rain
47,Bredasdorp,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
48,Taolanaro,-18.4,47.8667,52.12,81,62,5.12,MG,broken clouds
49,Illoqqortoormiut,60.9167,-46.05,46.62,94,54,4.41,GL,broken clouds
50,Port Alfred,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
51,Yarada,34.1667,77.5833,62.13,48,30,5.55,IN,scattered clouds
52,Atascadero,22.0752,-159.319,80.92,79,75,5.01,US,light rain
53,Lompoc,22.0752,-159.319,80.92,79,75,5.01,US,light rain
54,Bluff,-46.6,168.3333,48.79,61,46,10.33,NZ,scattered clouds
55,Kamenskoye,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
56,Yulara,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
57,Sao Filipe,14.8961,-24.4956,75.81,87,35,6.51,CV,scattered clouds
58,Lichinga,-23.865,35.3833,67.98,94,20,9.22,MZ,few clouds
59,Busselton,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
60,Phan Thiet,21.1833,106.05,86.09,75,100,4.99,VN,overcast clouds
61,Prince Rupert,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
62,Ancud,-53.15,-70.9167,33.91,100,75,4.61,CL,broken clouds
63,Saint George,39.1834,-84.5333,69.22,85,1,5.75,US,clear sky
64,Wenatchee,22.0752,-159.319,80.92,79,75,5.01,US,light rain
65,Zhigansk,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
66,Mys Shmidta,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
67,Klaksvik,62.2266,-6.589,52.72,93,22,11.45,FO,few clouds
68,East London,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
69,Fortuna,22.0752,-159.319,80.92,79,75,5.01,US,light rain
70,Kaseda,34.0667,134.15,90.01,45,98,6.82,JP,overcast clouds
71,Narsaq,60.9167,-46.05,46.62,94,54,4.41,GL,broken clouds
72,Mahebourg,-20.3428,57.7575,73.22,88,40,11.5,MU,scattered clouds
73,Hami,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
74,Shubarshi,44.1667,52.1167,92.91,23,1,1.25,KZ,clear sky
75,Nizhneyansk,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
76,Japura,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
77,Changji,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
78,Bentiu,13.6017,26.6876,74.43,73,100,4.63,SD,overcast clouds
79,Udine,38.685,16.5499,75.15,81,5,10.33,IT,clear sky
