City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Flinders,AU,2021-07-19 01:38:50,-34.5833,150.8552,58.37,65,99,5.01
1,Magole,TZ,2021-07-19 01:38:50,-6.3667,37.3667,63.43,79,10,1.7
2,Butaritari,KI,2021-07-19 01:38:50,3.0707,172.7902,83.73,72,100,9.08
3,Esperance,AU,2021-07-19 01:38:50,-33.8667,121.9,53.44,76,80,14.5
4,Provideniya,RU,2021-07-19 01:38:50,64.3833,-173.3,50.11,81,90,13.42
5,Vaini,TO,2021-07-19 01:38:51,-21.2,-175.2,80.76,83,20,10.36
6,Saint-Augustin,CA,2021-07-19 01:38:51,51.226,-58.6502,67.59,54,0,1.21
7,Noumea,NC,2021-07-19 01:38:51,-22.2763,166.4572,73.38,66,85,6.46
8,Torbay,CA,2021-07-19 01:38:51,47.6666,-52.7314,65.17,75,75,12.66
9,East London,ZA,2021-07-19 01:35:27,-33.0153,27.9116,60.06,28,0,6.85
10,Mataura,NZ,2021-07-19 01:38:52,-46.1927,168.8643,43.48,88,93,2.62
11,Bluff,NZ,2021-07-19 01:38:52,-46.6,168.3333,43.81,76,77,6.2
12,Moerai,PF,2021-07-19 01:38:52,-22.4333,-151.3333,74.17,82,100,28.74
13,Ginda,IN,2021-07-19 01:38:52,30.6945,78.4932,68.04,96,100,1.3
14,Rikitea,PF,2021-07-19 01:38:53,-23.1203,-134.9692,70.81,64,100,25.05
15,Hilo,US,2021-07-19 01:38:53,19.7297,-155.09,79.25,87,90,4.61
16,Ancud,CL,2021-07-19 01:38:53,-41.8697,-73.8203,46.22,86,100,5.61
17,Codrington,AU,2021-07-19 01:38:53,-38.2667,141.9667,55.33,74,76,13.33
18,Arraial Do Cabo,BR,2021-07-19 01:38:53,-22.9661,-42.0278,68.41,87,100,20.49
19,Omboue,GA,2021-07-19 01:38:54,-1.5746,9.2618,70.88,86,23,5.06
20,Mangrol,IN,2021-07-19 01:38:54,21.1167,70.1167,83.32,80,100,18.01
21,Ushuaia,AR,2021-07-19 01:38:36,-54.8,-68.3,44.26,65,40,13.8
22,Vila Velha,BR,2021-07-19 01:36:40,-20.3297,-40.2925,73.35,78,0,6.91
23,Tuktoyaktuk,CA,2021-07-19 01:38:54,69.4541,-133.0374,55.4,82,40,11.5
24,Hithadhoo,MV,2021-07-19 01:38:55,-0.6,73.0833,81.27,69,22,1.74
25,Bambanglipuro,ID,2021-07-19 01:38:55,-7.95,110.2833,80.67,71,17,4.74
26,Saskylakh,RU,2021-07-19 01:38:55,71.9167,114.0833,53.67,92,100,14.65
27,Te Anau,NZ,2021-07-19 01:38:55,-45.4167,167.7167,46.0,81,75,1.39
28,Nikolskoye,RU,2021-07-19 01:38:55,59.7035,30.7861,62.49,90,9,7.0
29,Lubango,AO,2021-07-19 01:38:56,-14.9172,13.4925,55.31,61,19,3.49
30,Albany,US,2021-07-19 01:38:56,42.6001,-73.9662,68.38,95,100,5.61
31,Bambous Virieux,MU,2021-07-19 01:38:56,-20.3428,57.7575,68.25,88,40,9.22
32,Martinsburg,US,2021-07-19 01:38:56,39.4562,-77.9639,75.18,73,1,0.0
33,Khatanga,RU,2021-07-19 01:38:56,71.9667,102.5,61.45,61,99,12.12
34,Husavik,IS,2021-07-19 01:38:57,66.0449,-17.3389,64.31,81,100,3.06
